vol_group,vol_group_label,si_decile,n,events,event_rate,mean_return
0,low,1,2839,46,0.01620288834096513,0.0008156775428267453
0,low,2,3233,58,0.017939993813795237,0.0010892648340603997
0,low,3,3460,44,0.012716763005780347,0.0013137851378614142
0,low,4,3217,46,0.014299036369288157,0.002285478191040788
0,low,5,3275,48,0.01465648854961832,0.0015482885191080214
0,low,6,3414,44,0.012888107791446984,0.001483838706098456
0,low,7,3455,50,0.01447178002894356,5.354600352856802e-05
0,low,8,3222,35,0.010862818125387958,0.001987661651823734
0,low,9,3471,50,0.014405070584845865,0.0012967403975831435
0,low,10,3805,109,0.02864651773981603,-0.000515867517670914
1,middle,1,2868,84,0.029288702928870293,0.0013449438409333424
1,middle,2,3392,78,0.022995283018867923,0.001983857760147571
1,middle,3,3456,81,0.0234375,0.0016874777586875819
1,middle,4,3293,92,0.027938050409960523,0.0008664847421664696
1,middle,5,3271,91,0.027820238459186793,0.0011080072547521762
1,middle,6,3530,119,0.033711048158640226,0.0018141779047871666
1,middle,7,3476,131,0.03768699654775604,1.2657062546572562e-05
1,middle,8,3273,142,0.04338527344943477,-0.0007490609936563686
1,middle,9,3575,123,0.0344055944055944,0.002051165455339495
1,middle,10,3829,162,0.042308696787673024,-0.000909910496910446
2,high,1,2897,255,0.08802209181912322,0.002989405455643729
2,high,2,3518,194,0.05514496873223423,0.0006484166975731147
2,high,3,3527,186,0.05273603629146584,0.003163572904452723
2,high,4,3316,294,0.08866103739445115,0.002738121615559203
2,high,5,3340,376,0.1125748502994012,-0.003934912902622391
2,high,6,3599,273,0.07585440400111142,0.0038723275055207824
2,high,7,3464,248,0.07159353348729793,0.0021356866022641174
2,high,8,3379,273,0.08079313406333234,0.00020848337839310326
2,high,9,3666,311,0.08483360611020185,0.0017197795076146893
2,high,10,3856,334,0.08661825726141079,0.0005261492247765647
