window,evaluation,train_rows,evaluation_rows,model,status,features,n,events,event_rate,auc,log_loss,brier,delta_auc_vs_volatility_only,delta_log_loss_vs_volatility_only,delta_brier_vs_volatility_only
window_1,validation,68387,45497,volatility_only,ok,['volatility'],28264.0,1006.0,0.035592980469855644,0.7484078944047944,0.14704594649334124,0.03351950957957608,0.0,0.0,0.0
window_1,validation,68387,45497,volatility_plus_si,ok,"['volatility', 'short_interest_change']",28245.0,1005.0,0.03558151885289432,0.7481113156683543,0.1469749265121639,0.03351103133840895,-0.0002965787364400674,-7.101998117733932e-05,-8.478241167127198e-06
window_1,validation,68387,45497,volatility_plus_si_interaction,ok,"['volatility', 'short_interest_change', 'si_x_volatility']",28245.0,1005.0,0.03558151885289432,0.7465750542441975,0.14712864558243297,0.03352795692554637,-0.001832840160596927,8.269908909172563e-05,8.447345970295783e-06
window_1,test,68387,47958,volatility_only,ok,['volatility'],30259.0,1245.0,0.041144783370236956,0.702667400836544,0.16699240639099913,0.038777264300911024,0.0,0.0,0.0
window_1,test,68387,47958,volatility_plus_si,ok,"['volatility', 'short_interest_change']",30227.0,1245.0,0.04118834154894631,0.7028565299774767,0.16687103731969746,0.038771880975141296,0.00018912914093272004,-0.00012136907130166907,-5.383325769728331e-06
window_1,test,68387,47958,volatility_plus_si_interaction,ok,"['volatility', 'short_interest_change', 'si_x_volatility']",30227.0,1245.0,0.04118834154894631,0.7019313192317957,0.16697278360197484,0.038811890079352145,-0.000736081604748251,-1.9622789024287268e-05,3.4625778441120525e-05
window_2,validation,113884,47958,volatility_only,ok,['volatility'],30259.0,1245.0,0.041144783370236956,0.702667400836544,0.16665026119919032,0.03868755140623698,0.0,0.0,0.0
window_2,validation,113884,47958,volatility_plus_si,ok,"['volatility', 'short_interest_change']",30227.0,1245.0,0.04118834154894631,0.7029436911263853,0.16648935094586,0.038685166122990854,0.00027629028984132997,-0.00016091025333031528,-2.3852832461285223e-06
window_2,validation,113884,47958,volatility_plus_si_interaction,ok,"['volatility', 'short_interest_change', 'si_x_volatility']",30227.0,1245.0,0.04118834154894631,0.7026459297960596,0.16649504172506924,0.038686257425285635,-2.147104048444426e-05,-0.00015521947412108772,-1.2939809513473621e-06
window_2,test,113884,0,volatility_only,NO_EVALUATION_DATA,,,,,,,,,,
window_2,test,113884,0,volatility_plus_si,NO_EVALUATION_DATA,,,,,,,,,,
window_2,test,113884,0,volatility_plus_si_interaction,NO_EVALUATION_DATA,,,,,,,,,,
