si_tail,vol_tail,si_high_vol_n,si_low_vol_n,si_high_vol_event_rate,si_low_vol_event_rate,event_rate_difference,si_high_vol_lift,si_low_vol_lift,lift_ratio_high_vs_low_vol,return_difference_high_vol,return_difference_low_vol
0.01,0.01,74,1239,0.21621621621621623,0.06698950766747377,0.14922670854874245,5.034347617110956,1.5597741658744697,3.227613155323999,-0.04076160059429713,-0.0003213767478994176
0.01,0.025,111,1202,0.1981981981981982,0.06405990016638935,0.13413829803180885,4.614818649018376,1.4915616016170041,3.0939510939510937,-0.016926329287553745,-0.0012886679084045706
0.01,0.05,190,1123,0.15263157894736842,0.06233303650934995,0.09029854243801846,3.5538519691842465,1.4513535539088795,2.448646616541353,0.00323514715130792,-0.0036204553443507136
0.01,0.1,303,1010,0.132013201320132,0.05841584158415842,0.07359735973597359,3.0737765979060283,1.3601461445734178,2.259887005649717,0.006033416888511179,-0.0052301709493378975
0.025,0.01,138,2645,0.16666666666666666,0.06956521739130435,0.09710144927536231,3.880642954856361,1.6197466246356986,2.395833333333333,-0.01174295684969878,-0.0007045130992301588
0.025,0.025,214,2569,0.1588785046728972,0.06734137796808097,0.09153712670481622,3.6993044990219515,1.5679670638929168,2.359299875749554,0.0018264283957819551,-0.001526748044459024
0.025,0.05,390,2393,0.13846153846153847,0.06393648140409527,0.0745250570574432,3.223918762496054,1.4886879367146424,2.165610859728507,0.010636474677724975,-0.003237541779950832
0.025,0.1,632,2151,0.12183544303797468,0.06043700604370061,0.061398436994274073,2.8367991220627196,1.4072066502965885,2.0159079844206422,0.006070257106533011,-0.0034412279719983137
0.05,0.01,172,3495,0.1686046511627907,0.06838340486409156,0.10022124629869913,3.9257667101453886,1.5922294698895627,2.4655784762090107,-0.01470294487823197,-0.0005338600508819893
0.05,0.025,261,3406,0.16091954022988506,0.06635349383440986,0.0945660463954752,3.7468276805509695,1.5449653102716459,2.425185637269861,0.002098192521770504,-0.0014800317053095442
0.05,0.05,498,3169,0.13654618473895583,0.06311139160618491,0.07343479313277092,3.1793219389184646,1.4694766632463343,2.163574297188755,0.010555664428016776,-0.0031125923087229404
0.05,0.1,811,2856,0.12453760789149199,0.0584733893557423,0.06606421853574969,2.8997159440726943,1.3614860786996057,2.1298168151982106,0.004288165474904996,-0.0028012815306100083
0.1,0.01,176,3607,0.17613636363636365,0.06820072082062656,0.10793564281573709,4.101134031836836,1.58797588061214,2.5826173318551366,-0.01917280505046184,-0.00019986066249149488
0.1,0.025,268,3515,0.16417910447761194,0.0662873399715505,0.09789176450606145,3.8227229107540275,1.5434249931405954,2.4767791941579653,-0.0009613660396645777,-0.0011216986488022424
0.1,0.05,513,3270,0.13840155945419103,0.06299694189602446,0.07540461755816656,3.2225222198222414,1.4668118324778172,2.1969567932776926,0.009272261007352171,-0.0027791444002035906
0.1,0.1,834,2949,0.12470023980815348,0.05866395388267209,0.06603628592548139,2.9035026424824575,1.3659231560328595,2.125670561816443,0.0038697856060449917,-0.002536829153638769
