label,n,events,event_rate,mean_return,analysis,si_tail,vol_tail,baseline_event_rate,lift
SI 0.01,1313,99,0.0753998476770754,-0.0014031594256317015,si_only,0.01,,0.04294820951205899,1.7555993261117127
SI 0.025,2783,207,0.0743801652892562,-4.168150435509095e-05,si_only,0.025,,0.04294820951205899,1.7318571864648225
SI 0.05,3667,268,0.0730842650668121,1.2179949601407845e-05,si_only,0.05,,0.04294820951205899,1.7016836300542757
SI 0.1,3783,277,0.0732223103357124,0.00011777490320743608,si_only,0.1,,0.04294820951205899,1.7048978564555308
VOL 0.01,1834,388,0.21155943293347873,0.0031302718792098703,volatility_only,,0.01,0.04294820951205899,4.925919737680267
VOL 0.025,2904,521,0.17940771349862258,0.003735804119791255,volatility_only,,0.025,0.04294820951205899,4.17730367661191
VOL 0.05,5655,814,0.14394341290893015,0.005057367379317505,volatility_only,,0.05,0.04294820951205899,3.35155794721812
VOL 0.1,10703,1324,0.12370363449500141,0.002831673979819817,volatility_only,,0.1,0.04294820951205899,2.8802978261589214
SI 0.01 × VOL 0.01,74,16,0.21621621621621623,-0.03954000066939368,interaction,0.01,0.01,0.04294820951205899,5.034347617110956
SI 0.01 × VOL 0.025,111,22,0.1981981981981982,-0.015715868243147926,interaction,0.01,0.025,0.04294820951205899,4.614818649018376
SI 0.01 × VOL 0.05,190,29,0.15263157894736842,0.004421191555880725,interaction,0.01,0.05,0.04294820951205899,3.5538519691842465
SI 0.01 × VOL 0.1,303,40,0.132013201320132,0.007207579078906273,interaction,0.01,0.1,0.04294820951205899,3.0737765979060283
SI 0.025 × VOL 0.01,138,23,0.16666666666666666,-0.010535025054391205,interaction,0.025,0.01,0.04294820951205899,3.880642954856361
SI 0.025 × VOL 0.025,214,34,0.1588785046728972,0.0030146644935291787,interaction,0.025,0.025,0.04294820951205899,3.6993044990219515
SI 0.025 × VOL 0.05,390,54,0.13846153846153847,0.011787918187635811,interaction,0.025,0.05,0.04294820951205899,3.223918762496054
SI 0.025 × VOL 0.1,632,77,0.12183544303797468,0.007224754019036641,interaction,0.025,0.1,0.04294820951205899,2.8367991220627196
SI 0.05 × VOL 0.01,172,29,0.1686046511627907,-0.013486118137869927,interaction,0.05,0.01,0.04294820951205899,3.9257667101453886
SI 0.05 × VOL 0.025,261,42,0.16091954022988506,0.0032848934847147467,interaction,0.05,0.025,0.04294820951205899,3.7468276805509695
SI 0.05 × VOL 0.05,498,68,0.13654618473895583,0.011696253421698754,interaction,0.05,0.05,0.04294820951205899,3.1793219389184646
SI 0.05 × VOL 0.1,811,101,0.12453760789149199,0.0054461748213479036,interaction,0.05,0.1,0.04294820951205899,2.8997159440726943
SI 0.1 × VOL 0.01,176,31,0.17613636363636365,-0.017947699007985433,interaction,0.1,0.01,0.04294820951205899,4.101134031836836
SI 0.1 × VOL 0.025,268,44,0.16417910447761194,0.00023322026102740284,interaction,0.1,0.025,0.04294820951205899,3.8227229107540275
SI 0.1 × VOL 0.05,513,71,0.13840155945419103,0.010417746557034079,interaction,0.1,0.05,0.04294820951205899,3.2225222198222414
SI 0.1 × VOL 0.1,834,104,0.12470023980815348,0.005030245928318089,interaction,0.1,0.1,0.04294820951205899,2.9035026424824575
