target,window,evaluation,model,status,train_n,train_events,n,events,event_rate,auc,log_loss,brier,delta_auc_vs_momentum_only,delta_log_loss_vs_momentum_only,delta_brier_vs_momentum_only
down_5pct_5d,window_1,validation,momentum_only,ok,43591,7506,28264,3808,0.13472969148032835,0.5295462832151997,0.40015928619075125,0.11787317664440139,0.0,0.0,0.0
down_5pct_5d,window_1,validation,momentum_plus_si,ok,43443,7489,28245,3805,0.13471410869180386,0.5298375973985474,0.40020468385123986,0.11788330916369635,0.00029131418334771286,4.5397660488610825e-05,1.013251929496417e-05
down_5pct_5d,window_1,validation,momentum_plus_si_interaction,ok,43443,7489,28245,3805,0.13471410869180386,0.5291604476408206,0.4004816549746153,0.11789595100151554,-0.0003858355743791009,0.00032236878386404655,2.2774357114146992e-05
down_5pct_5d,window_1,test,momentum_only,ok,43591,7506,30253,4338,0.14339073810861733,0.5025156897033756,0.4139263043495845,0.12359439625610553,0.0,0.0,0.0
down_5pct_5d,window_1,test,momentum_plus_si,ok,43443,7489,30221,4335,0.1434433010158499,0.5016680492704193,0.4140646494444487,0.12364596399761232,-0.0008476404329562648,0.00013834509486421176,5.156774150678889e-05
down_5pct_5d,window_1,test,momentum_plus_si_interaction,ok,43443,7489,30221,4335,0.1434433010158499,0.5000650576777016,0.4147898554804888,0.1237085936098568,-0.002450632025673971,0.0008635511309043054,0.00011419735375126083
down_7pct_5d,window_1,validation,momentum_only,ok,43591,4482,28264,2151,0.07610387772431361,0.541729083143153,0.27273310013680546,0.07089690385789926,0.0,0.0,0.0
down_7pct_5d,window_1,validation,momentum_plus_si,ok,43443,4467,28245,2149,0.07608426270136308,0.541826993305885,0.27270746589597694,0.07088499663263717,9.79101627319734e-05,-2.5634240828520394e-05,-1.1907225262092203e-05
down_7pct_5d,window_1,validation,momentum_plus_si_interaction,ok,43443,4467,28245,2149,0.07608426270136308,0.5428219593816752,0.2730168339381081,0.07088689593368432,0.0010928762385221669,0.0002837338013026436,-1.0007924214947006e-05
down_7pct_5d,window_1,test,momentum_only,ok,43591,4482,30253,2549,0.08425610683238026,0.4976535984793343,0.2906803522446601,0.07740891329362393,0.0,0.0,0.0
down_7pct_5d,window_1,test,momentum_plus_si,ok,43443,4467,30221,2548,0.08431223321531385,0.4975191603261253,0.2908089408424595,0.07745585859534516,-0.00013443815320901553,0.00012858859779940612,4.69453017212379e-05
down_7pct_5d,window_1,test,momentum_plus_si_interaction,ok,43443,4467,30221,2548,0.08431223321531385,0.4972475991055215,0.29162801099265856,0.07751896222759887,-0.00040599937381280427,0.0009476587479984588,0.00011004893397494053
down_10pct_5d,window_1,validation,momentum_only,ok,43591,2133,28264,1006,0.035592980469855644,0.5612835752379843,0.15480885907282488,0.03438950888577598,0.0,0.0,0.0
down_10pct_5d,window_1,validation,momentum_plus_si,ok,43443,2126,28245,1005,0.03558151885289432,0.5634489447037937,0.15476832911710633,0.03437594584876857,0.0021653694658093636,-4.052995571854345e-05,-1.3563037007412182e-05
down_10pct_5d,window_1,validation,momentum_plus_si_interaction,ok,43443,2126,28245,1005,0.03558151885289432,0.5678904669019075,0.15526894277986233,0.034369142402572855,0.006606891663923142,0.0004600837070374564,-2.0366483203124175e-05
down_10pct_5d,window_1,test,momentum_only,ok,43591,2133,30253,1245,0.04115294350973457,0.49755641429479636,0.17174353619894925,0.039408075425849114,0.0,0.0,0.0
down_10pct_5d,window_1,test,momentum_plus_si,ok,43443,2126,30221,1245,0.04119651897687039,0.49939516486708846,0.17186097643458842,0.03944146679963331,0.0018387505722921027,0.00011744023563917128,3.339137378419871e-05
down_10pct_5d,window_1,test,momentum_plus_si_interaction,ok,43443,2126,30221,1245,0.04119651897687039,0.4964616472516239,0.17327281176565792,0.03952829141932665,-0.001094767043172462,0.0015292755667086766,0.00012021599347753625
