target,momentum_decile,si_decile,n,events,event_rate,momentum_row_n,momentum_row_event_rate,incremental_vs_momentum_row,incremental_lift_vs_momentum_row,overall_event_rate
down_5pct_5d,1,1,367,66,0.17983651226158037,2918,0.20390678546949967,-0.024070273207919296,0.8819545256794815,0.1434433010158499
down_5pct_5d,1,2,216,46,0.21296296296296297,2918,0.20390678546949967,0.009056177493463297,1.044413320883909,0.1434433010158499
down_5pct_5d,1,3,179,30,0.16759776536312848,2918,0.20390678546949967,-0.03630902010637119,0.8219332425707713,0.1434433010158499
down_5pct_5d,1,4,233,44,0.1888412017167382,2918,0.20390678546949967,-0.015065583752761458,0.9261153388393984,0.1434433010158499
down_5pct_5d,1,5,404,115,0.28465346534653463,2918,0.20390678546949967,0.08074667987703496,1.3959980031616606,0.1434433010158499
down_5pct_5d,1,6,269,59,0.21933085501858737,2918,0.20390678546949967,0.015424069549087704,1.0756427478054418,0.1434433010158499
down_5pct_5d,1,7,372,64,0.17204301075268819,2918,0.20390678546949967,-0.03186377471681148,0.8437336224812506,0.1434433010158499
down_5pct_5d,1,8,169,20,0.11834319526627218,2918,0.20390678546949967,-0.08556359020322749,0.5803788971209785,0.1434433010158499
down_5pct_5d,1,9,403,80,0.19851116625310175,2918,0.20390678546949967,-0.005395619216397918,0.9735387951706738,0.1434433010158499
down_5pct_5d,1,10,306,71,0.23202614379084968,2918,0.20390678546949967,0.028119358321350013,1.1379030043389904,0.1434433010158499
down_5pct_5d,2,1,344,40,0.11627906976744186,3013,0.13574510454696315,-0.019466034779521288,0.8565986239836243,0.1434433010158499
down_5pct_5d,2,2,283,31,0.10954063604240283,3013,0.13574510454696315,-0.02620446850456032,0.8069582796962341,0.1434433010158499
down_5pct_5d,2,3,284,30,0.1056338028169014,3013,0.13574510454696315,-0.03011130173006174,0.7781776231963912,0.1434433010158499
down_5pct_5d,2,4,313,36,0.11501597444089456,3013,0.13574510454696315,-0.020729130106068583,0.8472937188029716,0.1434433010158499
down_5pct_5d,2,5,252,52,0.20634920634920634,3013,0.13574510454696315,0.07060410180224319,1.5201226374820507,0.1434433010158499
down_5pct_5d,2,6,297,40,0.13468013468013468,3013,0.13574510454696315,-0.001064969866828469,0.9921546351864201,0.1434433010158499
down_5pct_5d,2,7,398,49,0.12311557788944724,3013,0.13574510454696315,-0.012629526657515905,0.9069614576550235,0.1434433010158499
down_5pct_5d,2,8,249,33,0.13253012048192772,3013,0.13574510454696315,-0.0032149840650354256,0.9763160220343479,0.1434433010158499
down_5pct_5d,2,9,386,69,0.17875647668393782,3013,0.13574510454696315,0.043011372136974674,1.3168539468183489,0.1434433010158499
down_5pct_5d,2,10,207,29,0.14009661835748793,3013,0.13574510454696315,0.0043515138105247875,1.032056506384135,0.1434433010158499
down_5pct_5d,3,1,378,46,0.12169312169312169,3018,0.14049039098740887,-0.018797269294287183,0.8662024558250974,0.1434433010158499
down_5pct_5d,3,2,319,30,0.09404388714733543,3018,0.14049039098740887,-0.04644650384007344,0.6693972910628735,0.1434433010158499
down_5pct_5d,3,3,323,41,0.12693498452012383,3018,0.14049039098740887,-0.013555406467285036,0.9035136398154098,0.1434433010158499
down_5pct_5d,3,4,345,35,0.10144927536231885,3018,0.14049039098740887,-0.03904111562509002,0.7221082854799017,0.1434433010158499
down_5pct_5d,3,5,233,40,0.17167381974248927,3018,0.14049039098740887,0.0311834287550804,1.221961292412341,0.1434433010158499
down_5pct_5d,3,6,281,35,0.12455516014234876,3018,0.14049039098740887,-0.015935230845060114,0.8865742295037938,0.1434433010158499
down_5pct_5d,3,7,299,63,0.21070234113712374,3018,0.14049039098740887,0.07021195014971487,1.4997633621505648,0.1434433010158499
down_5pct_5d,3,8,280,33,0.11785714285714285,3018,0.14049039098740887,-0.022633248130266015,0.8388982479784367,0.1434433010158499
down_5pct_5d,3,9,337,68,0.20178041543026706,3018,0.14049039098740887,0.06129002444285819,1.4362577683220425,0.1434433010158499
down_5pct_5d,3,10,223,33,0.14798206278026907,3018,0.14049039098740887,0.0074916717928601995,1.053325154412387,0.1434433010158499
down_5pct_5d,4,1,396,34,0.08585858585858586,3030,0.11056105610561057,-0.02470247024702471,0.7765716870194481,0.1434433010158499
down_5pct_5d,4,2,407,20,0.04914004914004914,3030,0.11056105610561057,-0.06142100696556143,0.4444607429682056,0.1434433010158499
down_5pct_5d,4,3,347,29,0.08357348703170028,3030,0.11056105610561057,-0.026987569073910284,0.7559034797195577,0.1434433010158499
down_5pct_5d,4,4,307,32,0.10423452768729642,3030,0.11056105610561057,-0.006326528418314145,0.9427779668433078,0.1434433010158499
down_5pct_5d,4,5,258,34,0.13178294573643412,3030,0.11056105610561057,0.021221889630823554,1.1919472405414786,0.1434433010158499
down_5pct_5d,4,6,315,34,0.10793650793650794,3030,0.11056105610561057,-0.002624548169102625,0.9762615493958777,0.1434433010158499
down_5pct_5d,4,7,271,51,0.1881918819188192,3030,0.11056105610561057,0.07763082581320863,1.702153439444842,0.1434433010158499
down_5pct_5d,4,8,262,30,0.11450381679389313,3030,0.11056105610561057,0.003942760688282559,1.035661387717899,0.1434433010158499
down_5pct_5d,4,9,284,44,0.15492957746478872,3030,0.11056105610561057,0.044368521359178154,1.401303342442716,0.1434433010158499
down_5pct_5d,4,10,183,27,0.14754098360655737,3030,0.11056105610561057,0.03697992750094681,1.3344751651578173,0.1434433010158499
down_5pct_5d,5,1,362,36,0.09944751381215469,3069,0.11241446725317693,-0.012966953441022236,0.8846504924333414,0.1434433010158499
down_5pct_5d,5,2,507,33,0.0650887573964497,3069,0.11241446725317693,-0.047325709856727224,0.5790069462310266,0.1434433010158499
down_5pct_5d,5,3,321,25,0.0778816199376947,3069,0.11241446725317693,-0.03453284731548223,0.6928078017066233,0.1434433010158499
down_5pct_5d,5,4,309,33,0.10679611650485436,3069,0.11241446725317693,-0.005618350748322565,0.9500211059518784,0.1434433010158499
down_5pct_5d,5,5,254,37,0.14566929133858267,3069,0.11241446725317693,0.03325482408540574,1.2958233481684354,0.1434433010158499
down_5pct_5d,5,6,343,40,0.11661807580174927,3069,0.11241446725317693,0.004203608548572338,1.037393839523387,0.1434433010158499
down_5pct_5d,5,7,303,46,0.15181518151815182,3069,0.11241446725317693,0.03940071426497489,1.3504950495049506,0.1434433010158499
down_5pct_5d,5,8,250,32,0.128,3069,0.11241446725317693,0.015585532746823075,1.1386434782608696,0.1434433010158499
down_5pct_5d,5,9,243,44,0.18106995884773663,3069,0.11241446725317693,0.0686554915945597,1.6107353730542138,0.1434433010158499
down_5pct_5d,5,10,177,19,0.10734463276836158,3069,0.11241446725317693,-0.00506983448481535,0.954900515843773,0.1434433010158499
down_5pct_5d,6,1,306,33,0.10784313725490197,2973,0.11873528422468886,-0.010892146969786895,0.9082652891184804,0.1434433010158499
down_5pct_5d,6,2,506,45,0.08893280632411067,2973,0.11873528422468886,-0.02980247790057819,0.7490006606277083,0.1434433010158499
down_5pct_5d,6,3,348,21,0.0603448275862069,2973,0.11873528422468886,-0.05839045663848196,0.508229950180717,0.1434433010158499
down_5pct_5d,6,4,334,44,0.1317365269461078,2973,0.11873528422468886,0.013001242721418935,1.1094977184441317,0.1434433010158499
down_5pct_5d,6,5,232,27,0.11637931034482758,2973,0.11873528422468886,-0.0023559738798612784,0.9801577610628114,0.1434433010158499
down_5pct_5d,6,6,323,27,0.08359133126934984,2973,0.11873528422468886,-0.03514395295533902,0.7040142432401617,0.1434433010158499
down_5pct_5d,6,7,280,45,0.16071428571428573,2973,0.11873528422468886,0.041979001489596865,1.3535511938486444,0.1434433010158499
